Smiles	Is_Nature_Product	Np Likeness Score
CCC[C@H](O)[C@H](O)C[C@H]1OCc2c(OC)cccc21	1	1.39
CCCCN1C[C@H](O)[C@@H](O)[C@@H]1CO	0	1.26
CCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CC/C=C(\C)CCCCCCCCC	1	1.69
C[C@@]1(C(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1	0	-0.62
CC1=CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(=C\OS(=O)(=O)[O-])CCC/C(C)=C/Cc1cc(O)ccc1O.[Na+]	0	2.73
CCOc1cc(/C=N/NC(=O)CN2CCCCC2)ccc1OCc1cccc(Cl)c1	0	-1.86
O=C(O)c1ccc(CN2CCC(c3ccnc4ccnn34)CC2)cc1	0	-1.33
CC(=O)N1c2ccc(/N=C/c3cc(Br)cc(Br)c3O)cc2CC1C	0	-0.99
Nc1nc(NC[C@@H]2CC[C@@H]3CN(Cc4ccc(F)cc4F)CCN3C2)cc2nc(-c3ccco3)nn12	0	-2.05
CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@@H](COC(N)=O)O[C@H]1/N=C1\N[C@@H]2[C@H](O)CNC(=O)[C@@H]2N1	1	1.78
COC(=O)C1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(NC(=O)C(N)c5ccc(O)c(c5)Oc5cc4cc(O)c5C)C(O)c4ccc(cc4)Oc4cc3cc(c4O)Oc3ccc(cc3)C2OC2CC(N)(O)C(C)CO2)c2ccc(O)c(c2)-c2c(O)cc(O)cc21	0	
CC/C(=C(\c1ccc(O)cc1)c1ccc(CC(=O)O)cc1)c1ccccc1	0	0.16
CC(/C=C/[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O	1	2.08
CCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)Cc1cc(F)cc(F)c1	0	-0.85
O=C(COc1c(-c2ccccc2)oc2c(ccc3occc32)c1=O)c1ccccc1	0	0.23
COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1	0	-0.37
CCN(CC)CCOC(=O)C(C)(CI)c1ccccc1	0	-0.76
CO[C@@H]1[C@H](OC)C(=O)c2c(oc3ccccc23)[C@@H]1O	1	2.04
COC1=CC(=O)C(Cl)=C(C)C1=O	1	1.73
C/C=C(\C)C(=O)O[C@H]1C=CC(=O)O[C@H]1/C=C/[C@H](O)[C@H](C)O	1	3.31
COC(=O)/C=C(\C)CC/C=C(\C)CCC(O)C(C)(C)O	0	2.46
CC1=C[C@@]2(C)[C@H]([C@@H](C)[C@H](O)C[C@H]2O)[C@@H](/C=C(\C)C(=O)O)[C@@H]1/C(C)=C/C[C@H](O)C[C@@H](O)[C@H](C)[C@@H](O)C(C)C	1	2.19
C/C(=N/NC(N)=O)c1ccc(Oc2ccc(Cl)cc2)cc1	0	-1.35
CC(C)[C@H](NC(=O)c1cc2c([nH]c3ccccc32)c(CCC(=O)N2CCC[C@H]2C(=O)O)n1)C(=O)O	1	-0.3
C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@@]12Cc1c(O)cc3c(c1O2)CN([C@@H](CCC(=O)O)C(=O)O)C3=O	1	2.3
COC(=O)c1cn2cc(-c3ccccc3)c(-c3ccc(CN4CC(c5n[nH]c(-c6cccc(C)n6)n5)C4)cc3)nc2n1	0	-1.29
OC1(C(CN2CCNCC2)c2ccsc2Cl)CCCCC1	0	-0.51
O=C1Nc2ccc(F)cc2C(O)C1(Cc1ccccc1)Cc1ccccc1	0	-0.04
COc1cc(C)ccc1S(=O)(=O)Nc1cccnc1	0	-1.95
CC(C)=CCc1c(O)cc(O)c2c1C(=O)c1c(O)c(Cl)c(C)c(Cl)c1OC2	1	1.64
CCn1cc(C(=O)NC2CCc3cc(NC(C)=O)ccc32)c(=O)c2cnc(N3CCCC3)nc21	0	-1.43
COc1ccc(Cl)c2c1CCC1(CN=CN1)C2	0	0.11
C/C(=C\c1csc(C)n1)[C@@H]1C/C=C\CCC[C@H](C)[C@H](O)CC(=O)C(C)(C)[C@@H](O)CC(=O)O1	1	1.8
CC1(C)C[C@H](O)C[C@]2(C)[C@H]3C(=O)OCC3=CC[C@@H]12	1	3.38
Cc1ccc(N2C(=O)NC(=O)C(=Cc3ccc[nH]3)C2=O)cc1	0	-1.37
COc1c(-c2ccco2)coc(=O)c1C	1	0.19
COc1ccc(N2Cc3cc(Cl)cc(Cl)c3C2=O)cc1OCCN1CCCCC1C	0	-1.04
CN(C)CCCOc1nn(Cc2ccccc2F)c2ccc([N+](=O)[O-])cc12	0	-1.99
O=C(O)CC[N+](=O)[O-]	1	0.54
COc1ccc(NC(C)=O)cc1	1	-1.14
COc1ccc(OC)c(-c2cc(C(=O)NCc3ccc(Cl)cc3)no2)c1	0	-1.48
CC(C)/C=C/c1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O	0	1.34
Cc1ccc(NC(=O)c2ccc(S(=O)(=O)NCc3cccnc3)cc2)c(C)c1	0	-2.07
O=c1c(O)ccccc1O	1	0.35
O=C(CN1CCCC1)Nc1ccc(F)c(Cl)c1.O=C(O)C(=O)O	0	-2.91
Cn1c(-c2ccc(Oc3ccccc3)cc2)cc2onc(-c3ccccc3)c2c1=O	0	-0.68
COc1cc(=O)oc2c1[C@H](O[C@@H]1O[C@@H](C)[C@H](C)c3oc(=O)cc(OC)c31)O[C@@H](C)[C@@H]2C	1	1.11
C/C=C/C1Oc2c(-c3ccccc3)cn(O)c(=O)c2C2C(C)CCCC12	1	1.4
CC(O)(CO)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O	1	2.68
Nc1n[nH]c(=O)n2ncnc12	0	-1.76
CC(=O)O[C@H](C)[C@@H]1c2cc3cccc(O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)c3c(O)c2C(=O)C[C@]1(C)O	1	2.03
Cn1nc2c(nc1=O)c(=O)n(C)c(=O)n2C	1	-0.5
Cc1ccc2nc(CSc3nnc(NC(=O)CC(C)C)s3)cc(=O)n2c1	0	-2.93
COc1cc(-c2nc3sc(C4CC4)nn3c2-c2ccc(N(C)C)cc2)cc(OC)c1OC	0	-0.97
O=c1c(Cl)c(OCc2ccc(F)cc2F)cc(CO)n1-c1c(F)cccc1F	0	-0.98
CCOC(=O)CNC(=O)N1CCCC(C(=O)c2ccc3c(c2)OCO3)C1	0	-1.21
C/C(=N\NC(=S)Nc1ccc([N+](=O)[O-])cc1)c1nc2cccnc2[nH]1	0	-2.03
O=C1/C(=C/c2cccc([N+](=O)[O-])c2)CN(C(=O)[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2cc(Cl)ccc23)C/C1=C\c1cccc([N+](=O)[O-])c1	0	-0.49
CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC1=O	1	0.85
CCOC(=O)C1Nc2ccc(-c3cc(F)cc(C#N)c3)cc2C(C)(C)O1	0	-0.41
CCCCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1	0	0.13
CC(C)Nc1cc(-c2ccccc2)nc2ccccc12	0	-0.87
Cc1cccc(S(=O)(=O)Nc2cccc(-c3cc(Nc4cc(N5CCN(C)CC5)nc(C)n4)[nH]n3)c2)c1	0	-2.23
COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(OC)c1C	1	0.77
CCC(C)/C=C(C)/C=C/C=C/C=C/C(=O)c1c(O)c(-c2ccc(O)cc2)cn(O)c1=O	1	1.57
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I	0	0.91
